SOURCE_INSTANCE	SOURCE_KEY1	SOURCE_KEY2	SOURCE_KEY3	LACTA_ANALYSIS_CODE	UPDATED_ON	UPDATED_BY
EU_LW_V5	LA49			49	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA5			5	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA50			50	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA51			51	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA52			52	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA53			53	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA54			54	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA55			55	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA56			56	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA58			58	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA6			6	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA63			63	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA64BIS			64BIS	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA68			68	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA7			7	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA70			70	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA72			72	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA74			74	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA75			75	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA76			76	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA8			8	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA80			80	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA800			800	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA801			801	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA807			807	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA808			808	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA809			809	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA814			814	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA817			817	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA818			818	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA85			85	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA87			87	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA89			89	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA9			9	2015/10/09 10:02:51.000000000	F_EMMPER
EU_LW_V5	LA9.1			9.1	2015/10/09 10:02:52.000000000	F_EMMPER
EU_LW_V5	LA92			92	2015/10/09 10:02:52.000000000	F_EMMPER
EU_LW_V5	LA93			93	2015/10/09 10:02:52.000000000	F_EMMPER
EU_LW_V5	LA94			94	2015/10/09 10:02:52.000000000	F_EMMPER
EU_LW_V5	LA98			98	2015/10/09 10:02:52.000000000	F_EMMPER
EU_LW_V5	O29			O29	2015/10/09 10:02:52.000000000	F_EMMPER
EU_LW_V5	O29.G			O29.G	2015/10/09 10:02:52.000000000	F_EMMPER
EU_LW_V5	O29.H			O29.H	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	ACETOPHILE			432	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	APC-PETRI			430	2015/10/09 10:02:52.000000000	F_EMMPER
